,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
475,20591,24803,19515,21359
476,20591,24639,19515,21359
477,20591,24639,19515,21359
478,20591,24639,19515,21359
479,20591,24639,19515,21359
480,20591,24639,19515,21359
481,20591,24639,19515,21359
482,20591,24639,19515,21359
483,20591,24639,19515,21359
484,20591,24639,19515,21359
485,20591,24531,19515,21359
486,20591,24531,19515,21359
487,20591,24531,19515,21359
488,20591,24531,19515,21359
489,20591,24531,19515,21359
490,20591,24531,19515,21359
491,20591,24531,19515,21359
492,20591,24531,19515,21359
493,20591,24495,19515,21359
494,20591,24495,19515,21359
495,20591,24495,19515,21359
496,20591,24495,19515,21359
497,20591,24495,19515,21359
498,20591,24495,19515,21359
499,20591,24495,19515,21359
500,20591,24425,19515,21359
501,20591,24348,19515,21359
502,20591,24348,19515,21359
503,20591,24348,19515,21359
504,20591,24348,19515,21359
505,20591,24247,19515,21359
506,20591,24247,19515,21359
507,20591,24247,19515,21359
508,20591,24236,19515,21359
509,20591,24235,19515,21359
510,20591,24235,19515,21359
511,20591,24235,19515,21359
512,20591,24105,19515,21359
513,20591,24105,19515,21359
514,20591,24105,19515,21359
515,20591,24105,19515,21359
516,20591,24105,19515,21359
517,20591,24105,19515,21359
518,20591,24032,19515,21359
519,20591,24032,19515,21359
520,20591,23941,19515,21359
521,20591,23941,19515,21359
522,20591,23941,19515,21359
523,20591,23941,19515,21359
524,20591,23941,19515,21359
525,20591,23941,19515,21359
526,20591,23941,19515,21359
527,20591,23941,19515,21359
528,20591,23900,19515,21359
529,20591,23900,19515,21359
530,20591,23900,19515,21359
531,20591,23780,19515,21359
532,20591,23780,19515,21359
533,20591,23773,19515,21359
534,20591,23773,19515,21359
535,20591,23473,19515,21359
536,20591,23473,19515,21359
537,20591,23473,19515,21359
538,20591,23473,19515,21359
539,20591,23278,19515,21359
540,20591,23278,19515,21359
541,20591,23278,19515,21359
542,20591,23278,19515,21359
543,20591,23278,19515,21359
544,20591,23278,19515,21359
545,20591,23278,19515,21359
546,20591,23278,19515,21359
547,20591,23278,19515,21359
548,20591,23278,19515,21359
549,20591,23253,19515,21359
550,20591,23253,19515,21359
551,20591,23253,19515,21359
552,20591,23253,19515,21359
553,20591,23253,19515,21359
554,20591,23253,19515,21359
555,20591,23253,19515,21359
556,20591,23253,19515,21359
557,20591,23253,19515,21359
558,20591,23253,19515,21359
559,20591,23253,19515,21359
560,20591,23234,19515,21359
561,20591,23234,19515,21359
562,20591,23234,19515,21359
563,20591,23234,19515,21359
564,20591,23234,19515,21359
565,20591,23234,19515,21359
566,20591,23234,19515,21359
567,20591,23234,19515,21359
568,20591,23234,19515,21359
569,20591,23234,19515,21359
570,20591,23234,19515,21359
571,20591,23234,19515,21359
572,20591,23175,19515,21359
573,20591,23175,19515,21359
574,20591,23137,19515,21359
575,20591,23137,19515,21359
576,20591,23110,19515,21359
577,20591,23110,19515,21359
578,20591,23110,19515,21359
579,20591,23110,19515,21359
580,20591,23110,19515,21359
581,20591,23110,19515,21359
582,20591,23110,19515,21359
583,20591,23110,19515,21359
584,20591,22945,19515,21359
585,20591,22945,19515,21359
586,20591,22945,19515,21359
587,20591,22945,19515,21359
588,20591,22945,19515,21359
589,20591,22945,19515,21359
590,20591,22945,19515,21359
591,20591,22740,19515,21359
592,20591,22740,19515,21359
593,20591,22740,19515,21359
594,20591,22732,19515,21359
595,20591,22732,19515,21359
596,20591,22585,19515,21359
597,20591,22585,19515,21359
598,20591,22585,19515,21359
599,20591,22585,19515,21359
600,20591,22585,19515,21359
601,20591,22585,19515,21359
602,20591,22585,19515,21359
603,20591,22585,19515,21359
604,20591,22585,19515,21359
605,20591,22585,19515,21359
606,20591,22585,19515,21359
607,20591,22585,19515,21359
608,20591,22585,19515,21359
609,20591,22585,19515,21359
610,20591,22585,19515,21359
611,20591,22585,19515,21359
612,20591,22585,19515,21359
613,20591,22585,19515,21359
614,20591,22585,19515,21359
615,20591,22585,19515,21359
616,20591,22508,19515,21359
617,20591,22508,19515,21359
618,20591,22441,19515,21359
619,20591,22441,19515,21359
620,20591,22441,19515,21359
621,20591,22441,19515,21359
622,20591,22376,19515,21359
623,20591,22376,19515,21359
624,20591,22376,19515,21359
625,20591,22361,19515,21359
626,20591,22346,19515,21359
627,20591,22346,19515,21359
628,20591,22346,19515,21359
629,20591,22346,19515,21359
630,20591,22346,19515,21359
631,20591,22346,19515,21359
632,20591,22346,19515,21359
633,20591,22346,19515,21359
634,20591,22346,19515,21359
635,20591,22346,19515,21359
636,20591,22346,19515,21359
637,20591,22346,19515,21359
638,20591,22346,19515,21359
639,20591,22346,19515,21359
640,20591,22346,19515,21359
641,20591,22333,19515,21359
642,20591,22333,19515,21359
643,20591,22333,19515,21359
644,20591,22230,19515,21359
645,20591,22230,19515,21359
646,20591,22230,19515,21359
647,20591,22230,19515,21359
648,20591,22230,19515,21359
649,20591,22230,19515,21359
650,20591,22230,19515,21359
651,20591,22230,19515,21359
652,20591,22221,19515,21359
653,20591,22221,19515,21359
654,20591,22221,19515,21359
655,20591,22221,19515,21359
656,20591,22221,19515,21359
657,20591,22221,19515,21359
658,20591,22221,19515,21359
659,20591,22221,19515,21359
660,20591,22221,19515,21359
661,20591,22221,19515,21359
662,20591,22221,19515,21359
663,20591,22221,19515,21359
664,20591,22221,19515,21359
665,20591,22221,19515,21359
666,20591,22221,19515,21359
667,20591,22221,19515,21359
668,20591,22221,19515,21359
669,20591,22221,19515,21359
670,20591,22221,19515,21359
671,20591,22140,19515,21359
672,20591,22140,19515,21359
673,20591,22140,19515,21359
674,20591,22140,19515,21359
675,20591,22140,19515,21359
676,20591,22140,19515,21359
677,20591,22062,19515,21359
678,20591,22062,19515,21359
679,20591,22062,19515,21359
680,20591,22062,19515,21359
681,20591,22062,19515,21359
682,20591,22062,19515,21359
683,20591,21983,19515,21359
684,20591,21983,19515,21359
685,20591,21983,19515,21359
686,20591,21983,19515,21359
687,20591,21983,19515,21359
688,20591,21983,19515,21359
689,20591,21983,19515,21359
690,20591,21972,19515,21359
691,20591,21972,19515,21359
692,20591,21972,19515,21359
693,20591,21956,19515,21359
694,20591,21956,19515,21359
695,20591,21931,19515,21359
696,20591,21931,19515,21359
697,20591,21931,19515,21359
698,20591,21931,19515,21359
699,20591,21931,19515,21359
700,20591,21931,19515,21359
701,20591,21931,19515,21359
702,20591,21821,19515,21359
703,20591,21821,19515,21359
704,20591,21821,19515,21359
705,20591,21803,19515,21359
706,20591,21803,19515,21359
707,20591,21803,19515,21359
708,20591,21670,19515,21359
709,20591,21670,19515,21359
710,20591,21670,19515,21359
711,20591,21649,19515,21359
712,20591,21649,19515,21359
