,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
778,13510,35322,14612,15959
779,13510,35322,14601,15959
780,13510,35322,14599,15959
781,13510,35322,14599,15959
782,13510,35322,14599,15959
783,13510,35322,14588,15959
784,13510,35322,14586,15959
785,13510,35322,14586,15955
786,13510,35322,14586,15955
787,13510,35322,14579,15955
788,13510,35322,14579,15955
789,13510,35322,14579,15955
790,13510,35322,14579,15955
791,13510,35322,14576,15955
792,13510,35322,14574,15955
793,13510,35322,14574,15955
794,13510,35322,14571,15955
795,13510,35322,14569,15955
796,13510,35322,14550,15955
797,13510,35191,14550,15955
798,13510,35145,14547,15955
799,13510,35145,14545,15955
800,13510,35145,14530,15955
801,13510,35145,14530,15955
802,13510,35145,14530,15955
803,13510,35145,14530,15955
804,13510,35145,14530,15945
805,13510,35145,14530,15945
806,13510,35145,14530,15945
807,13510,35145,14530,15945
808,13510,35145,14530,15945
809,13510,35145,14530,15945
810,13510,35145,14530,15945
811,13510,35145,14530,15945
812,13510,35145,14530,15941
813,13510,35145,14530,15941
814,13510,35145,14530,15941
815,13510,35145,14530,15941
816,13510,35145,14530,15941
817,13510,35145,14530,15941
818,13510,35145,14530,15935
819,13510,35145,14530,15935
820,13510,35145,14530,15935
821,13510,35145,14530,15935
822,13510,35145,14530,15935
823,13510,35145,14530,15935
824,13510,35145,14530,15935
825,13510,35145,14530,15935
826,13510,34957,14530,15935
827,13510,34767,14530,15935
828,13510,34767,14530,15935
829,13510,34767,14530,15935
830,13510,34767,14530,15935
831,13510,34767,14530,15935
832,13510,34767,14530,15935
833,13510,34767,14530,15935
834,13510,34767,14530,15935
835,13510,34767,14530,15935
836,13510,34767,14530,15935
837,13510,34767,14530,15935
838,13510,34767,14530,15935
839,13510,34767,14530,15935
840,13510,34767,14530,15935
841,13510,34767,14530,15935
842,13510,34767,14530,15935
843,13510,34767,14530,15935
844,13510,34767,14530,15901
845,13510,34767,14530,15889
846,13510,34767,14530,15889
847,13510,34764,14530,15889
848,13510,34764,14530,15889
849,13510,34764,14530,15889
850,13510,34764,14530,15889
851,13510,34764,14530,15889
852,13510,34764,14530,15889
853,13510,34764,14530,15889
854,13510,34764,14530,15889
855,13510,34764,14530,15889
856,13510,34764,14530,15889
857,13510,34764,14530,15889
858,13510,34764,14530,15889
859,13510,34764,14530,15889
860,13510,34764,14530,15889
861,13510,34764,14530,15889
862,13510,34764,14530,15889
863,13510,34764,14530,15889
864,13510,34764,14530,15889
865,13510,34764,14530,15889
866,13510,34764,14530,15889
867,13510,34764,14530,15889
868,13510,34764,14530,15889
869,13510,34764,14530,15889
870,13510,34764,14530,15889
871,13510,34764,14530,15889
872,13510,34764,14530,15889
873,13510,34764,14530,15889
874,13510,34764,14530,15889
875,13510,34764,14530,15889
876,13510,34764,14530,15889
877,13510,34764,14530,15889
878,13510,34764,14530,15889
879,13510,34764,14530,15889
880,13510,34764,14530,15828
881,13510,34764,14530,15828
882,13510,34764,14530,15828
883,13510,34764,14530,15828
884,13510,34764,14530,15828
885,13510,34764,14530,15826
886,13510,34764,14530,15826
887,13510,34764,14530,15826
888,13510,34670,14530,15826
889,13510,34670,14530,15826
890,13510,34670,14530,15826
891,13510,34647,14530,15826
892,13510,34647,14530,15826
893,13510,34647,14530,15826
894,13510,34647,14530,15826
895,13510,34647,14530,15826
896,13510,34647,14530,15826
897,13510,34647,14530,15826
898,13510,34647,14530,15676
899,13510,34647,14530,15676
900,13510,34647,14530,15676
901,13510,34647,14530,15676
902,13510,34647,14530,15676
903,13510,34647,14530,15676
904,13510,34647,14530,15676
905,13510,34647,14530,15676
906,13510,34647,14530,15676
907,13510,34647,14530,15676
908,13510,34647,14530,15676
909,13510,34647,14530,15676
910,13510,34647,14530,15676
911,13510,34647,14530,15676
912,13510,34647,14530,15676
913,13510,34647,14530,15676
914,13510,34647,14530,15676
915,13510,34647,14530,15676
916,13510,34647,14530,15676
917,13510,34647,14530,15676
918,13510,34647,14530,15676
919,13510,34647,14530,15676
920,13510,34647,14530,15676
921,13510,34647,14530,15676
922,13510,34647,14530,15676
923,13510,34647,14530,15676
924,13510,34647,14530,15676
925,13510,34647,14530,15676
926,13510,34647,14530,15676
927,13510,34647,14530,15670
928,13510,34647,14530,15670
929,13510,34647,14530,15670
930,13510,34647,14530,15667
931,13510,34647,14530,15667
932,13510,34647,14530,15667
933,13510,34647,14530,15667
934,13510,34647,14530,15667
935,13510,34647,14530,15667
936,13510,34647,14530,15667
937,13510,34647,14530,15667
938,13510,34647,14530,15667
939,13510,34647,14530,15667
940,13510,34647,14530,15667
941,13510,34647,14530,15667
942,13510,34647,14530,15667
943,13510,34647,14530,15667
944,13510,34647,14530,15667
945,13510,34647,14530,15667
946,13510,34647,14530,15667
947,13510,34647,14530,15667
948,13510,34647,14530,15667
949,13510,34647,14530,15667
950,13510,34647,14530,15667
951,13510,34647,14530,15667
952,13510,34647,14530,15610
953,13510,34647,14530,15610
954,13510,34647,14530,15610
955,13510,34647,14530,15610
956,13510,34647,14526,15606
957,13510,34647,14526,15606
958,13510,34647,14526,15606
959,13510,34647,14526,15606
960,13510,34647,14526,15606
961,13510,34647,14526,15606
962,13510,34647,14526,15606
963,13510,34647,14526,15606
964,13510,34647,14526,15606
965,13510,34647,14526,15606
966,13510,34647,14526,15606
967,13510,34647,14526,15606
968,13510,34647,14526,15606
969,13510,34647,14526,15606
970,13510,34647,14526,15606
971,13510,34647,14526,15606
972,13510,34647,14526,15606
973,13510,34647,14526,15606
974,13510,34647,14526,15606
975,13510,34647,14526,15606
976,13510,34647,14526,15606
977,13510,34647,14526,15606
978,13510,34647,14526,15589
979,13510,34647,14526,15589
980,13510,34647,14526,15589
981,13510,34647,14526,15589
982,13510,34647,14526,15589
983,13510,34647,14526,15589
984,13510,34647,14526,15589
985,13510,34647,14526,15589
986,13510,34647,14526,15589
987,13510,34647,14526,15589
